,runneR VIT,ceNder VIT,trexx VIT,Kicks VIT,Sayf VIT
kiNgg LEV,1 0 +1,1 0 +1,,,1 0 +1
C0M LEV,,,2 0 +2,,
aspas LEV,1 0 +1,0 1 -1,,,1 0 +1
Mazino LEV,,,0 1 -1,1 0 +1,1 0 +1
tex LEV,0 1 -1,2 0 +2,,2 0 +2,0 1 -1
