,runneR VIT,ceNder VIT,trexx VIT,Kicks VIT,Sayf VIT
kiNgg LEV,,,,,0 1 -1
C0M LEV,,,,,0 1 -1
aspas LEV,1 0 +1,1 0 +1,1 0 +1,1 0 +1,2 0 +2
Mazino LEV,,,,,0 1 -1
tex LEV,,,,,0 1 -1
