,runneR VIT,ceNder VIT,trexx VIT,Kicks VIT,Sayf VIT
kiNgg LEV,2 2 +0,2 2 +0,3 1 +2,4 1 +3,1 3 -2
C0M LEV,3 1 +2,3 1 +2,7 2 +5,2 1 +1,1 3 -2
aspas LEV,4 3 +1,3 1 +2,3 2 +1,1 0 +1,4 4 +0
Mazino LEV,4 1 +3,2 3 -1,0 4 -4,4 2 +2,5 2 +3
tex LEV,3 4 -1,5 1 +4,2 3 -1,3 2 +1,3 2 +1
