,runneR VIT,ceNder VIT,trexx VIT,Kicks VIT,Sayf VIT
kiNgg LEV,,2 1 +1,,,0 1 -1
C0M LEV,,1 0 +1,,0 1 -1,1 0 +1
aspas LEV,0 1 -1,,1 1 +0,0 1 -1,4 0 +4
Mazino LEV,0 1 -1,,1 1 +0,,1 2 -1
tex LEV,,1 1 +0,1 0 +1,0 1 -1,0 1 -1
