,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cortezia MIBR,,2 Round 18 Rossy C0M Round 19 tex kiNgg,,1 Round 2 Demon1 Rossy tex C0M,,,,,,,39,1,1
artzin MIBR,,2 Round 18 Demon1 tex Round 20 kiNgg Rossy,3 Round 11 kiNgg C0M Demon1 Round 15 tex kiNgg C0M Round 17 tex C0M kiNgg,,,1 Round 18 tex,,,,,66,6,0
aspas MIBR,,4 Round 6 C0M Rossy Round 7 Demon1 Rossy aspas Round 14 Demon1 Rossy Round 20 tex C0M,1 Round 21 Rossy kiNgg tex,1 Round 13 kiNgg C0M tex Demon1,,1 Round 11 tex,,1 Round 13 Demon1 tex C0M,,,54,0,0
xenom MIBR,,4 Round 3 Rossy C0M Round 7 kiNgg C0M Round 14 tex C0M Round 19 Demon1 Rossy,,1 Round 16 tex Rossy kiNgg C0M,,1 Round 20 Demon1,,,,,81,0,0
Verno MIBR,,1 Round 10 Rossy Demon1,,,,,,,,,52,1,1
C0M LEV,,1 Round 6 cortezia Verno,1 Round 12 xenom artzin aspas,,,,,,,,56,3,0
Rossy LEV,,5 Round 5 cortezia artzin Round 7 cortezia xenom Round 11 xenom artzin Round 13 cortezia Verno Round 20 cortezia aspas,,,,,1 Round 7 xenom aspas,,,,43,4,0
tex LEV,,4 Round 3 cortezia xenom Round 8 cortezia aspas Round 9 artzin aspas Round 11 cortezia Verno,2 Round 14 cortezia Verno aspas Round 18 xenom cortezia Verno,,,,,,,,71,2,0
kiNgg LEV,,,,,,,,,,,26,1,0
Demon1 LEV,,4 Round 6 xenom artzin Round 9 cortezia xenom Round 10 artzin cortezia Round 20 artzin Verno,,,,,,,,,53,0,0
