,C0M LEV,tex LEV,Demon1 LEV,Rossy LEV,kiNgg LEV
aspas MIBR,4 5 -1,6 10 -4,4 1 +3,7 3 +4,4 2 +2
artzin MIBR,8 4 +4,10 6 +4,5 10 -5,4 8 -4,14 5 +9
cortezia MIBR,7 5 +2,5 8 -3,6 2 +4,5 7 -2,5 3 +2
xenom MIBR,10 4 +6,6 5 +1,6 4 +2,10 4 +6,5 4 +1
Verno MIBR,3 7 -4,3 5 -2,7 4 +3,6 4 +2,4 5 -1
