,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cortezia MIBR,,3 Round 1 Rossy C0M Round 4 Demon1 C0M Round 10 kiNgg Demon1,1 Round 12 Demon1 Rossy tex,,,1 Round 1 C0M,,,,,50,0,0
artzin MIBR,,,1 Round 20 tex kiNgg C0M,3 Round 14 kiNgg tex Rossy C0M Round 15 Demon1 kiNgg Rossy tex Round 18 kiNgg Rossy C0M Demon1,,,,,,,68,2,1
aspas MIBR,,1 Round 13 Rossy tex,1 Round 2 Rossy Demon1 C0M,,,,,,,,32,0,0
xenom MIBR,,3 Round 3 Rossy C0M Round 4 tex Rossy Round 19 Demon1 C0M,,1 Round 16 C0M Rossy Demon1 tex,,,,,,,53,2,0
Verno MIBR,,2 Round 7 C0M Rossy Round 13 kiNgg Demon1,,,,,,1 Round 9 kiNgg C0M Rossy,,,54,3,0
C0M LEV,,1 Round 1 Verno xenom,1 Round 9 aspas cortezia xenom,,,,,,,,62,2,0
Rossy LEV,,2 Round 8 artzin Verno Round 17 xenom cortezia,1 Round 7 cortezia aspas artzin,,,,,,,,52,0,1
tex LEV,,2 Round 3 Verno xenom Round 8 aspas xenom,2 Round 10 aspas cortezia xenom Round 11 aspas Verno artzin,,,,,,,,56,0,0
kiNgg LEV,,,,1 Round 6 artzin cortezia xenom Verno,,,,,,,43,0,1
Demon1 LEV,,1 Round 3 aspas artzin,,,,1 Round 17 aspas,,,,,52,0,0
