,C0M LEV,tex LEV,Demon1 LEV,Rossy LEV,kiNgg LEV
aspas MIBR,1 2 -1,2 5 -3,1 1 +0,3 2 +1,1 0 +1
artzin MIBR,4 2 +2,5 2 +3,3 5 -2,3 4 -1,7 4 +3
cortezia MIBR,4 2 +2,2 2 +0,5 0 +5,2 3 -1,3 3 +0
xenom MIBR,5 3 +2,4 3 +1,3 1 +2,4 2 +2,1 3 -2
Verno MIBR,2 3 -1,2 2 +0,2 2 +0,3 2 +1,3 3 +0
