,C0M LEV,tex LEV,Demon1 LEV,Rossy LEV,kiNgg LEV
aspas MIBR,0 1 -1,0 2 -2,,1 0 +1,1 1 +0
artzin MIBR,2 1 +1,0 1 -1,2 0 +2,0 1 -1,5 0 +5
cortezia MIBR,,1 4 -3,3 0 +3,,2 0 +2
xenom MIBR,1 0 +1,1 0 +1,0 1 -1,1 1 +0,2 2 +0
Verno MIBR,0 1 -1,0 1 -1,,,0 2 -2
