,C0M LEV,tex LEV,Demon1 LEV,Rossy LEV,kiNgg LEV
aspas MIBR,,0 1 -1,,,0 1 -1
artzin MIBR,1 1 +0,0 1 -1,1 0 +1,,3 0 +3
cortezia MIBR,,1 4 -3,,,1 0 +1
xenom MIBR,,,0 1 -1,1 0 +1,2 1 +1
Verno MIBR,0 1 -1,,,,
