,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,1 0 +1,1 1 +0,1 0 +1,,0 1 -1
Famouz BME,3 0 +3,2 4 -2,3 3 +0,0 2 -2,5 4 +1
Shiro BME,0 3 -3,3 1 +2,3 2 +1,1 0 +1,1 1 +0
BerserX BME,,,3 3 +0,1 0 +1,3 0 +3
NcSlasher BME,0 1 -1,1 1 +0,0 2 -2,1 0 +1,1 1 +0
