,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,6 4 +2,3 3 +0,2 2 +0,5 3 +2,4 4 +0
Famouz BME,2 1 +1,1 2 -1,3 5 -2,2 3 -1,3 7 -4
Shiro BME,1 4 -3,5 2 +3,2 1 +1,3 5 -2,2 7 -5
BerserX BME,3 3 +0,3 2 +1,4 4 +0,4 2 +2,4 3 +1
NcSlasher BME,2 4 -2,3 3 +0,3 4 -1,2 1 +1,3 4 -1
