,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,,1 0 +1,,,0 1 -1
Famouz BME,1 0 +1,0 2 -2,2 2 +0,0 2 -2,0 4 -4
Shiro BME,0 1 -1,1 0 +1,,,
BerserX BME,,,1 2 -1,,
NcSlasher BME,,1 1 +0,0 1 -1,,0 1 -1
