,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,,0 2 -2,0 1 -1,,
Famouz BME,3 0 +3,3 1 +2,1 0 +1,,3 0 +3
Shiro BME,,0 1 -1,0 1 -1,,
BerserX BME,,0 1 -1,0 1 -1,,
NcSlasher BME,,0 1 -1,0 1 -1,,
