,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,11 10 +1,6 9 -3,7 7 +0,10 10 +0,8 9 -1
Famouz BME,13 4 +9,9 9 +0,10 10 +0,7 10 -3,15 12 +3
Shiro BME,6 7 -1,12 9 +3,9 8 +1,7 10 -3,5 11 -6
BerserX BME,8 7 +1,8 7 +1,9 13 -4,14 8 +6,11 6 +5
NcSlasher BME,3 8 -5,9 12 -3,8 11 -3,6 5 +1,6 11 -5
