,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,3 2 +1,1 4 -3,4 1 +3,3 3 +0,3 5 -2
Famouz BME,6 2 +4,6 5 +1,4 2 +2,3 4 -1,5 2 +3
Shiro BME,0 1 -1,3 5 -2,3 3 +0,1 4 -3,1 3 -2
BerserX BME,2 3 -1,1 3 -2,2 4 -2,2 4 -2,3 2 +1
NcSlasher BME,0 1 -1,1 5 -4,2 3 -1,1 4 -3,1 4 -3
