,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,2 4 -2,2 2 +0,1 4 -3,2 4 -2,1 0 +1
Famouz BME,5 1 +4,2 2 +0,3 3 +0,2 3 -1,7 3 +4
Shiro BME,5 2 +3,4 2 +2,4 4 +0,3 1 +2,2 1 +1
BerserX BME,3 1 +2,4 2 +2,3 5 -2,8 2 +6,4 1 +3
NcSlasher BME,1 3 -2,5 4 +1,3 4 -1,3 0 +3,2 3 -1
