,stax T1,iZu T1,BuZz T1,Sylvan T1,Meteor T1
dos9 BME,1 0 +1,0 1 -1,,,
Famouz BME,,0 1 -1,,,2 0 +2
Shiro BME,0 1 -1,1 1 +0,2 2 +0,1 0 +1,1 0 +1
BerserX BME,,,1 1 +0,,2 0 +2
NcSlasher BME,,,0 1 -1,1 0 +1,1 0 +1
