,BuZz T1,stax T1,Meteor T1,DH T1,iZu T1
PatMen PRX,0 1 -1,0 1 -1,0 2 -2,,
d4v41 PRX,2 0 +2,,1 1 +0,1 0 +1,1 1 +0
Jinggg PRX,1 0 +1,1 2 -1,3 0 +3,3 1 +2,1 0 +1
something PRX,2 0 +2,1 0 +1,0 1 -1,0 1 -1,2 1 +1
f0rsakeN PRX,1 1 +0,0 1 -1,2 3 -1,1 0 +1,
