,BuZz T1,stax T1,Meteor T1,DH T1,iZu T1
PatMen PRX,1 2 -1,0 5 -5,3 2 +1,5 1 +4,2 1 +1
d4v41 PRX,2 1 +1,3 2 +1,2 4 -2,2 3 -1,3 2 +1
Jinggg PRX,7 3 +4,5 4 +1,3 1 +2,6 0 +6,3 1 +2
something PRX,3 3 +0,4 1 +3,3 1 +2,0 4 -4,2 3 -1
f0rsakeN PRX,3 1 +2,3 2 +1,4 6 -2,2 0 +2,4 1 +3
