,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,0 1 -1,,,,0 1 -1
LewN BBL,3 4 -1,1 1 +0,1 0 +1,1 0 +1,
sociablEE BBL,0 1 -1,,,,1 0 +1
MAGNUM BBL,1 0 +1,,,2 0 +2,1 0 +1
PROFEK BBL,1 2 -1,,0 1 -1,,1 0 +1
