,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,4 2 +2,4 2 +2,4 5 -1,4 2 +2,4 4 +0
LewN BBL,4 5 -1,4 3 +1,6 5 +1,4 1 +3,2 3 -1
sociablEE BBL,5 2 +3,5 3 +2,3 3 +0,2 2 +0,4 6 -2
MAGNUM BBL,6 2 +4,2 6 -4,3 3 +0,6 1 +5,3 5 -2
PROFEK BBL,3 3 +0,6 0 +6,3 3 +0,4 4 +0,3 5 -2
