,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,3 5 -2,6 7 -1,2 7 -5,3 11 -8,4 9 -5
LewN BBL,13 8 +5,11 5 +6,3 14 -11,10 4 +6,5 6 -1
sociablEE BBL,6 2 +4,8 7 +1,6 6 +0,9 4 +5,11 12 -1
MAGNUM BBL,9 3 +6,8 7 +1,10 10 +0,4 7 -3,7 6 +1
PROFEK BBL,10 4 +6,4 5 -1,10 3 +7,7 12 -5,6 5 +1
