,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
MAGNUM BBL,,10,3,,,1,1,,,,46,4,1
PROFEK BBL,,8,5,,,1,,,,,47,4,1
sociablEE BBL,,14,2,,,1,,,,,54,11,0
Jamppi BBL,,7,1,,,1,,,,,35,7,4
LewN BBL,,14,2,3,,1,,,,,51,0,1
qRaxs FUT,,8,6,,,4,1,1,,,47,5,5
AtaKaptan FUT,,7,2,1,,,1,,,,39,3,0
MrFaliN FUT,,5,5,1,,,1,,,,44,13,0
yetujey FUT,,11,3,4,,2,,1,,,60,3,1
xeus FUT,,6,1,,,,,,,,31,0,0
