,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,7 7 +0,10 9 +1,6 12 -6,7 13 -6,8 13 -5
LewN BBL,17 13 +4,15 8 +7,9 19 -10,14 5 +9,7 9 -2
sociablEE BBL,11 4 +7,13 10 +3,9 9 +0,11 6 +5,15 18 -3
MAGNUM BBL,15 5 +10,10 13 -3,13 13 +0,10 8 +2,10 11 -1
PROFEK BBL,13 7 +6,10 5 +5,13 6 +7,11 16 -5,9 10 -1
