,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,1 2 -1,,1 1 +0,0 2 -2,1 3 -2
LewN BBL,7 7 +0,3 2 +1,1 1 +0,4 1 +3,1 1 +0
sociablEE BBL,3 1 +2,,1 0 +1,0 1 -1,4 1 +3
MAGNUM BBL,3 1 +2,0 1 -1,0 1 -1,2 1 +1,2 1 +1
PROFEK BBL,1 3 -2,,1 1 +0,1 2 -1,1 0 +1
