,xeus FUT,AtaKaptan FUT,qRaxs FUT,MrFaliN FUT,yetujey FUT
Jamppi BBL,1 1 +0,,1 1 +0,0 2 -2,1 2 -1
LewN BBL,4 3 +1,2 1 +1,0 1 -1,3 1 +2,1 1 +0
sociablEE BBL,3 0 +3,,1 0 +1,0 1 -1,3 1 +2
MAGNUM BBL,2 1 +1,0 1 -1,0 1 -1,0 1 -1,1 1 +0
PROFEK BBL,0 1 -1,,1 0 +1,1 2 -1,
