,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,1 0 +1,,1 0 +1,,
f0rsakeN PRX,,,0 1 -1,,
PatMen PRX,,,0 1 -1,,
d4v41 PRX,1 0 +1,2 0 +2,0 1 -1,2 0 +2,1 0 +1
Jinggg PRX,,,0 2 -2,,
