,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,2 1 +1,2 3 -1,6 2 +4,0 2 -2,2 0 +2
f0rsakeN PRX,0 3 -3,2 2 +0,2 1 +1,0 1 -1,0 2 -2
PatMen PRX,2 1 +1,2 0 +2,0 2 -2,,1 2 -1
d4v41 PRX,0 1 -1,1 0 +1,1 1 +0,,0 1 -1
Jinggg PRX,2 0 +2,3 3 +0,0 4 -4,2 1 +1,2 1 +1
