,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,,1 1 +0,3 1 +2,,1 0 +1
f0rsakeN PRX,0 2 -2,0 1 -1,1 0 +1,,0 1 -1
PatMen PRX,,,,,
d4v41 PRX,0 1 -1,,0 1 -1,,0 1 -1
Jinggg PRX,,1 2 -1,0 3 -3,1 0 +1,0 1 -1
