,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,4 2 +2,2 2 +0,7 3 +4,5 0 +5,3 1 +2
f0rsakeN PRX,2 2 +0,2 2 +0,2 1 +1,2 3 -1,3 4 -1
PatMen PRX,3 2 +1,2 2 +0,2 1 +1,4 0 +4,3 5 -2
d4v41 PRX,2 2 +0,4 1 +3,0 2 -2,1 2 -1,3 1 +2
Jinggg PRX,4 4 +0,5 1 +4,5 4 +1,4 3 +1,5 1 +4
