,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,3 7 -4,3 1 +2,4 6 -2,2 4 -2,7 1 +6
f0rsakeN PRX,4 4 +0,4 5 -1,3 6 -3,4 3 +1,2 1 +1
PatMen PRX,6 3 +3,2 3 -1,1 6 -5,3 3 +0,2 3 -1
d4v41 PRX,3 1 +2,1 5 -4,6 4 +2,2 5 -3,2 2 +0
Jinggg PRX,3 0 +3,5 6 -1,0 4 -4,3 3 +0,3 3 +0
