,grubinho GX,westside GX,ara GX,Cloud GX,Flickless GX
something PRX,2 0 +2,1 1 +0,,,
f0rsakeN PRX,,1 1 +0,,0 1 -1,0 1 -1
PatMen PRX,1 1 +0,1 0 +1,,,0 2 -2
d4v41 PRX,,1 0 +1,,,
Jinggg PRX,2 0 +2,0 1 -1,,0 1 -1,1 0 +1
