,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
mitch C9,,2 Round 4 aspas artzin Round 13 nzr xenom,,,,1 Round 20 nzr,,,,,46,5,0
neT C9,,1 Round 3 cortezia nzr,,,,,,,,,41,0,1
Xeppaa C9,,,,,,,,,,,39,0,1
v1c C9,,5 Round 1 aspas nzr Round 3 xenom aspas Round 4 xenom nzr Round 10 xenom aspas v1c Round 15 nzr cortezia,1 Round 18 nzr xenom aspas,,,2 Round 3 aspas Round 10 aspas,,,,,82,2,0
OXY C9,,6 Round 1 artzin xenom Round 2 artzin cortezia Round 10 artzin cortezia Round 13 aspas cortezia Round 14 cortezia aspas Round 20 xenom artzin,2 Round 15 artzin aspas xenom Round 17 cortezia nzr aspas,,,,,,,,65,1,1
nzr MIBR,,2 Round 3 OXY Xeppaa Round 16 mitch OXY,1 Round 12 Xeppaa neT v1c,,,,,,,,49,0,0
cortezia MIBR,,1 Round 15 OXY mitch,,,,,,,,,30,1,0
artzin MIBR,,2 Round 16 v1c Xeppaa Round 20 neT Xeppaa,2 Round 7 mitch neT Xeppaa Round 8 OXY neT v1c,,,,,,,,56,1,1
aspas MIBR,,3 Round 5 Xeppaa v1c Round 10 mitch neT Round 11 Xeppaa mitch,,,,,,,,,62,0,1
xenom MIBR,,1 Round 12 OXY mitch,1 Round 6 OXY neT mitch,,,,,,,,38,2,0
