,aspas MIBR,cortezia MIBR,artzin MIBR,nzr MIBR,xenom MIBR
neT C9,0 1 -1,0 2 -2,1 0 +1,,
OXY C9,1 1 +0,2 2 +0,1 0 +1,2 0 +2,0 1 -1
v1c C9,1 0 +1,,,0 1 -1,
mitch C9,0 3 -3,,0 1 -1,0 1 -1,
Xeppaa C9,,1 0 +1,,,
