,aspas MIBR,cortezia MIBR,artzin MIBR,nzr MIBR,xenom MIBR
neT C9,3 3 +0,5 0 +5,1 3 -2,2 3 -1,0 3 -3
OXY C9,5 4 +1,5 1 +4,7 3 +4,2 3 -1,5 4 +1
v1c C9,4 2 +2,3 1 +2,0 2 -2,7 3 +4,7 0 +7
mitch C9,3 2 +1,2 5 -3,4 2 +2,2 1 +1,1 2 -1
Xeppaa C9,1 4 -3,2 0 +2,4 5 -1,1 3 -2,1 0 +1
