,aspas MIBR,cortezia MIBR,artzin MIBR,nzr MIBR,xenom MIBR
neT C9,11 12 -1,15 8 +7,3 8 -5,5 8 -3,6 9 -3
OXY C9,9 14 -5,12 5 +7,15 12 +3,13 8 +5,8 11 -3
v1c C9,10 10 +0,10 7 +3,9 5 +4,13 9 +4,11 5 +6
mitch C9,7 12 -5,5 10 -5,10 6 +4,4 12 -8,6 6 +0
Xeppaa C9,3 9 -6,6 5 +1,10 14 -4,3 4 -1,4 12 -8
