,aspas MIBR,cortezia MIBR,artzin MIBR,nzr MIBR,xenom MIBR
neT C9,1 5 -4,6 5 +1,1 2 -1,2 2 +0,4 4 +0
OXY C9,3 6 -3,6 4 +2,5 4 +1,7 1 +6,2 3 -1
v1c C9,2 5 -3,3 4 -1,4 1 +3,3 2 +1,2 3 -1
mitch C9,2 6 -4,0 3 -3,3 1 +2,2 5 -3,2 2 +0
Xeppaa C9,2 3 -1,4 3 +1,3 3 +0,1 0 +1,2 7 -5
