,aspas MIBR,cortezia MIBR,artzin MIBR,nzr MIBR,xenom MIBR
neT C9,5 1 +4,,,,1 0 +1
OXY C9,1 2 -1,,0 1 -1,0 1 -1,
v1c C9,1 0 +1,1 1 +0,,,
mitch C9,0 2 -2,,1 1 +0,,
Xeppaa C9,,,0 1 -1,,
