,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,,0 1 -1,,1 2 -1,0 3 -3
keiko TL,1 0 +1,,,2 0 +2,0 1 -1
trexx TL,,,,0 1 -1,
paTiTek TL,,,,1 1 +0,
nAts TL,0 1 -1,,,,1 0 +1
