,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,1 0 +1,1 0 +1,,1 4 -3,0 1 -1
keiko TL,,,,0 3 -3,
trexx TL,,1 0 +1,,0 2 -2,
paTiTek TL,,,,0 3 -3,
nAts TL,1 0 +1,,,0 2 -2,1 0 +1
