,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,1 2 -1,1 3 -2,1 2 -1,2 3 -1,1 4 -3
keiko TL,1 3 -2,1 5 -4,2 1 +1,4 4 +0,0 1 -1
trexx TL,4 2 +2,0 2 -2,1 1 +0,2 6 -4,3 2 +1
paTiTek TL,2 4 -2,2 0 +2,0 3 -3,1 6 -5,4 1 +3
nAts TL,1 3 -2,1 5 -4,1 2 -1,0 3 -3,3 0 +3
