,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,1 0 +1,1 0 +1,,1 1 +0,
keiko TL,,,,0 1 -1,
trexx TL,,1 0 +1,,,
paTiTek TL,,,,0 1 -1,
nAts TL,1 0 +1,,,0 1 -1,
