,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,2 1 +1,3 1 +2,1 2 -1,3 5 -2,2 6 -4
keiko TL,1 1 +0,,1 1 +0,5 4 +1,1 1 +0
trexx TL,0 1 -1,1 0 +1,,3 2 +1,
paTiTek TL,0 1 -1,1 0 +1,,1 1 +0,0 1 -1
nAts TL,1 2 -1,,1 0 +1,2 1 +1,2 1 +1
