,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,1 0 +1,1 0 +1,0 2 -2,1 2 -1,1 3 -2
keiko TL,0 1 -1,,0 1 -1,1 2 -1,
trexx TL,,,,3 1 +2,
paTiTek TL,,1 0 +1,,,0 1 -1
nAts TL,1 1 +0,,1 0 +1,1 1 +0,1 0 +1
