,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,1 1 +0,2 0 +2,1 0 +1,1 1 +0,1 0 +1
keiko TL,,,1 0 +1,2 2 +0,1 0 +1
trexx TL,0 1 -1,1 0 +1,,,
paTiTek TL,0 1 -1,,,,
nAts TL,,,,1 0 +1,0 1 -1
