,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,4 Round 11 nobody Smoggy Round 21 Smoggy CHICHOO Round 25 ZmjjKK Smoggy Round 28 Smoggy nobody,,1 Round 19 CHICHOO Smoggy Jieni7 ZmjjKK,,,,,,,43,4,0
nAts TL,,4 Round 9 Jieni7 Smoggy Round 15 ZmjjKK nobody Round 26 CHICHOO nobody Round 27 Jieni7 ZmjjKK,2 Round 4 ZmjjKK Smoggy nobody Round 24 Jieni7 nobody Smoggy,1 Round 10 Jieni7 CHICHOO ZmjjKK Smoggy,,1 Round 10 Smoggy,1 Round 9 ZmjjKK Smoggy,,,,55,1,0
trexx TL,,,2 Round 6 Smoggy CHICHOO ZmjjKK Round 27 Smoggy nobody CHICHOO,,,,,,,,38,2,0
keiko TL,,2 Round 1 ZmjjKK CHICHOO Round 26 Jieni7 Smoggy,,,,,,,,,36,1,2
kamo TL,,5 Round 4 Jieni7 CHICHOO Round 8 Smoggy ZmjjKK Round 9 nobody CHICHOO Round 15 Jieni7 CHICHOO Round 23 nobody Jieni7,1 Round 18 ZmjjKK Jieni7 Smoggy,1 Round 3 Jieni7 Smoggy nobody ZmjjKK,,2 Round 3 ZmjjKK Round 26 ZmjjKK,,,,,54,2,0
nobody EDG,,3 Round 5 paTiTek trexx Round 6 nAts trexx Round 13 nAts paTiTek,1 Round 8 trexx paTiTek kamo,,,1 Round 6 trexx,,,,,35,4,0
ZmjjKK EDG,,5 Round 7 kamo paTiTek Round 19 trexx keiko Round 20 keiko trexx Round 22 kamo trexx Round 26 nAts keiko,2 Round 14 nAts paTiTek keiko Round 16 kamo paTiTek keiko,,,,,,,,41,0,0
Smoggy EDG,,5 Round 3 trexx nAts Round 9 trexx kamo Round 10 kamo trexx Round 12 kamo trexx Round 27 kamo keiko,2 Round 17 kamo keiko trexx Round 25 kamo keiko paTiTek,,,,,,,,52,1,1
CHICHOO EDG,,5 Round 7 keiko trexx Round 10 keiko paTiTek Round 17 paTiTek nAts Round 21 kamo trexx Round 23 trexx keiko,1 Round 13 kamo keiko trexx,,,1 Round 25 paTiTek,,,,,43,1,1
Jieni7 EDG,,2 Round 6 keiko paTiTek Round 12 keiko paTiTek,2 Round 1 nAts kamo keiko Round 5 kamo keiko nAts,,,,,,,,37,2,1
