,Jieni7 EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Smoggy EDG
kamo TL,,,,0 2 -2,0 1 -1
keiko TL,,,,0 1 -1,
trexx TL,,,,0 2 -2,
paTiTek TL,,,,0 2 -2,
nAts TL,,,,0 1 -1,
