,LuoK1ng TE,heybay TE,Biank TE,FengF TE,Kai TE
Meteor T1,2 0 +2,,,,1 2 -1
iZu T1,,,1 0 +1,1 0 +1,1 0 +1
BuZz T1,0 1 -1,,,3 0 +3,
Sylvan T1,,0 1 -1,,0 1 -1,
stax T1,,,1 0 +1,1 0 +1,
