,LuoK1ng TE,heybay TE,Biank TE,FengF TE,Kai TE
Meteor T1,,,,,0 1 -1
iZu T1,,,,,
BuZz T1,1 0 +1,1 0 +1,,1 0 +1,1 1 +0
Sylvan T1,,,,,0 1 -1
stax T1,,,,,0 1 -1
