,johnqt SEN,N4RRATE SEN,Zellsis SEN,zekken SEN,bang SEN
Palla FUR,1 0 +1,1 1 +0,,0 5 -5,0 1 -1
heat FUR,,,,,0 1 -1
adverso FUR,,0 1 -1,,,
tuyz FUR,,0 1 -1,,0 2 -2,1 0 +1
Urango FUR,,0 1 -1,,,0 1 -1
