,xenom MIBR,Verno MIBR,cortezia MIBR,aspas MIBR,artzin MIBR
keznit KRÜ,2 1 +1,1 1 +0,3 2 +1,2 2 +0,1 0 +1
Melser KRÜ,1 0 +1,0 1 -1,0 1 -1,0 2 -2,1 1 +0
adverso KRÜ,,1 1 +0,,2 1 +1,0 2 -2
Mazino KRÜ,2 1 +1,1 0 +1,1 1 +0,,1 0 +1
Shyy KRÜ,,0 1 -1,,1 0 +1,0 1 -1
