,xenom MIBR,Verno MIBR,cortezia MIBR,aspas MIBR,artzin MIBR
keznit KRÜ,1 0 +1,,3 2 +1,1 2 -1,1 0 +1
Melser KRÜ,1 0 +1,0 1 -1,0 1 -1,0 1 -1,
adverso KRÜ,,0 1 -1,,1 0 +1,0 1 -1
Mazino KRÜ,,1 0 +1,1 0 +1,,
Shyy KRÜ,,0 1 -1,,1 0 +1,
