,xenom MIBR,Verno MIBR,cortezia MIBR,aspas MIBR,artzin MIBR
keznit KRÜ,4 0 +4,3 6 -3,4 4 +0,2 5 -3,5 3 +2
Melser KRÜ,2 0 +2,1 3 -2,3 2 +1,1 7 -6,1 3 -2
adverso KRÜ,1 1 +0,1 3 -2,1 3 -2,4 3 +1,2 5 -3
Mazino KRÜ,1 3 -2,2 4 -2,3 6 -3,1 3 -2,2 1 +1
Shyy KRÜ,4 5 -1,5 2 +3,3 3 +0,5 2 +3,9 1 +8
