,xenom MIBR,Verno MIBR,cortezia MIBR,aspas MIBR,artzin MIBR
keznit KRÜ,5 2 +3,4 8 -4,6 6 +0,5 9 -4,6 5 +1
Melser KRÜ,4 2 +2,1 3 -2,4 5 -1,3 11 -8,3 6 -3
adverso KRÜ,3 2 +1,2 6 -4,3 5 -2,6 6 +0,7 10 -3
Mazino KRÜ,5 6 -1,3 6 -3,6 9 -3,2 6 -4,4 4 +0
Shyy KRÜ,6 6 +0,7 3 +4,3 4 -1,7 5 +2,10 7 +3
