,xenom MIBR,Verno MIBR,cortezia MIBR,aspas MIBR,artzin MIBR
keznit KRÜ,1 2 -1,1 2 -1,2 2 +0,3 4 -1,1 2 -1
Melser KRÜ,2 2 +0,,1 3 -2,2 4 -2,2 3 -1
adverso KRÜ,2 1 +1,1 3 -2,2 2 +0,2 3 -1,5 5 +0
Mazino KRÜ,4 3 +1,1 2 -1,3 3 +0,1 3 -2,2 3 -1
Shyy KRÜ,2 1 +1,2 1 +1,0 1 -1,2 3 -1,1 6 -5
