,benjyfishy TH,Wo0t TH,RieNs TH,Boo TH,MiniBoo TH
trent G2,,,0 1 -1,,0 2 -2
JonahP G2,0 2 -2,1 0 +1,0 1 -1,,2 3 -1
valyn G2,1 1 +0,1 1 +0,2 0 +2,,4 2 +2
jawgemo G2,2 0 +2,1 0 +1,0 2 -2,2 2 +0,0 5 -5
leaf G2,0 1 -1,1 2 -1,,,0 4 -4
