,benjyfishy TH,Wo0t TH,RieNs TH,Boo TH,MiniBoo TH
trent G2,2 5 -3,3 4 -1,2 4 -2,3 2 +1,2 1 +1
JonahP G2,2 4 -2,1 5 -4,3 3 +0,0 2 -2,3 4 -1
valyn G2,2 1 +1,4 5 -1,7 5 +2,3 3 +0,5 3 +2
jawgemo G2,5 2 +3,2 3 -1,1 3 -2,4 5 -1,2 5 -3
leaf G2,5 2 +3,6 6 +0,2 5 -3,5 1 +4,3 4 -1
