,benjyfishy TH,Wo0t TH,RieNs TH,Boo TH,MiniBoo TH
trent G2,3 4 -1,2 0 +2,4 4 +0,2 1 +1,3 5 -2
JonahP G2,2 8 -6,4 0 +4,1 4 -3,1 1 +0,3 4 -1
valyn G2,5 6 -1,1 2 -1,3 5 -2,2 3 -1,5 4 +1
jawgemo G2,2 5 -3,1 1 +0,2 4 -2,1 3 -2,3 5 -2
leaf G2,1 2 -1,3 2 +1,4 4 +0,4 2 +2,3 5 -2
