,benjyfishy TH,Wo0t TH,RieNs TH,Boo TH,MiniBoo TH
trent G2,5 9 -4,5 4 +1,6 8 -2,5 3 +2,5 6 -1
JonahP G2,4 12 -8,5 5 +0,4 7 -3,1 3 -2,6 8 -2
valyn G2,7 7 +0,5 7 -2,10 10 +0,5 6 -1,10 7 +3
jawgemo G2,7 7 +0,3 4 -1,3 7 -4,5 8 -3,5 10 -5
leaf G2,6 4 +2,9 8 +1,6 9 -3,9 3 +6,6 9 -3
