,Shiro BME,Famouz BME,NcSlasher BME,BerserX BME,dos9 BME
Art DFM,,0 2 -2,,0 1 -1,0 1 -1
gyen DFM,,1 4 -3,,1 0 +1,0 2 -2
Akame DFM,1 0 +1,2 2 +0,1 0 +1,0 4 -4,1 0 +1
Meiy DFM,0 1 -1,3 1 +2,1 1 +0,0 1 -1,0 3 -3
Jinboong DFM,,1 2 -1,0 1 -1,1 0 +1,0 1 -1
