,Shiro BME,Famouz BME,NcSlasher BME,BerserX BME,dos9 BME
Art DFM,4 5 -1,2 1 +1,3 3 +0,0 3 -3,3 4 -1
gyen DFM,2 2 +0,4 3 +1,1 1 +0,1 2 -1,3 6 -3
Akame DFM,4 1 +3,2 5 -3,1 6 -5,4 3 +1,1 1 +0
Meiy DFM,2 5 -3,4 3 +1,3 4 -1,2 2 +0,3 3 +0
Jinboong DFM,0 3 -3,0 6 -6,1 1 +0,3 2 +1,1 4 -3
