,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Jinboong DFM,,1 Round 11 dos9 NcSlasher,1 Round 19 Shiro Famouz dos9,,,,,,,,56,0,0
Meiy DFM,,3 Round 1 NcSlasher dos9 Round 9 Shiro dos9 Round 12 Famouz Shiro,2 Round 13 Shiro NcSlasher dos9 Round 20 NcSlasher dos9 Shiro,,,1 Round 9 dos9,,,,,55,2,1
Art DFM,,1 Round 5 Famouz NcSlasher,,,,,,,,,29,1,0
Akame DFM,,2 Round 5 BerserX Shiro Round 19 NcSlasher BerserX,1 Round 16 Famouz NcSlasher dos9,1 Round 8 Famouz NcSlasher BerserX dos9,,,,,,,62,0,1
gyen DFM,,1 Round 9 Famouz BerserX,2 Round 4 Famouz dos9 Shiro Round 7 Shiro NcSlasher dos9,,,,,,,,56,2,1
Famouz BME,,2 Round 2 gyen Art Round 20 Jinboong Meiy,,,,1 Round 20 Meiy,,,,,50,0,1
BerserX BME,,1 Round 13 Meiy Art,2 Round 14 Meiy Jinboong Akame Round 20 Akame gyen Art,,,,1 Round 13 Art Meiy,,,,39,0,1
NcSlasher BME,,2 Round 1 Art gyen Round 10 Meiy gyen,,,,,,,,,43,5,0
Shiro BME,,5 Round 1 Jinboong Meiy Round 6 Meiy gyen Round 13 Akame gyen Round 16 Meiy Art Round 18 gyen Akame,3 Round 11 Akame Jinboong Meiy Round 15 Jinboong Meiy Art Round 21 gyen Akame Art,,,1 Round 1 Meiy,,,,,78,3,1
dos9 BME,,3 Round 2 Meiy Akame Round 17 Jinboong gyen Round 21 Meiy Jinboong,1 Round 9 gyen Akame Jinboong,,,1 Round 5 Akame,,,,,60,0,0
