,Shiro BME,Famouz BME,NcSlasher BME,BerserX BME,dos9 BME
Art DFM,0 4 -4,2 5 -3,2 2 +0,0 4 -4,1 2 -1
gyen DFM,3 5 -2,2 4 -2,2 4 -2,4 1 +3,4 3 +1
Akame DFM,2 4 -2,3 1 +2,4 0 +4,4 4 +0,3 5 -2
Meiy DFM,5 5 +0,2 1 +1,4 7 -3,2 2 +0,6 3 +3
Jinboong DFM,2 5 -3,3 3 +0,3 2 +1,4 2 +2,2 3 -1
